protein_name_1,protein_name_2,protein_id_1,protein_id_2,discovery date
GLUD1,KLHL29,114281,104637,5/13/2014
LIN28B,RBM34,105515,100653,5/13/2014
C3ORF17,GPRASP2,114480,102376,5/13/2014
ZNF346,PHAX,114992,106249,5/13/2014
EMILIN3,PASK,101751,109730,5/13/2014
CAPRIN1,FXR2,113309,108518,5/13/2014
CHCHD3,GPRASP2,105352,102376,5/13/2014
SNRPB2,LIN28B,111910,105515,5/13/2014
AGO1,C2ORF44,111253,100923,5/13/2014
NEDD8,SMURF1,115957,115101,5/13/2014
TRIM32,GPRASP2,107984,102376,5/13/2014
HJURP,PASK,110496,109730,5/13/2014
ATXN2L,DDX6,115440,103960,5/13/2014
ZNF346,RRP9,114992,115362,5/13/2014
GARS,DCP2,116132,111067,5/13/2014
DGCR8,RAE1,109725,100765,5/13/2014
EIF3E,GPRASP2,101943,102376,5/13/2014
DROSHA,THRAP3,109251,104457,5/13/2014
EIF6,TOP2A,116039,109182,5/13/2014
KEAP1,GPRASP2,109865,102376,5/13/2014
TOP2B,EIF6,111170,116039,5/13/2014
KANK2,DCP1B,115592,109333,5/13/2014
CNOT10,RNF219,100855,103899,5/13/2014
UPF1,POP1,105734,109292,5/13/2014
WDR18,GPRASP2,109507,102376,5/13/2014
AIP,AGO1,103537,111253,5/13/2014
POP1,METTL17,109292,109127,5/13/2014
EIF6,POP1,116039,109292,5/13/2014
DDX6,PATL1,103960,112059,5/13/2014
GPRASP2,MYO9B,102376,113649,5/13/2014
POP1,RBM34,109292,100653,5/13/2014
POP1,CSNK2A2,109292,106059,5/13/2014
FTSJ3,DDB1,100905,108297,5/13/2014
DICER1,MYSM1,103514,104549,5/13/2014
DGCR8,ERH,109725,113641,5/13/2014
TRRAP,DCP2,103915,111067,5/13/2014
ZNF574,PASK,103173,109730,5/13/2014
IGBP1,AGO2,115348,109001,5/13/2014
ADARB1,CCDC124,114577,104638,5/13/2014
PASK,OBSL1,109730,108161,5/13/2014
TCF25,AGO1,114360,111253,5/13/2014
FTSJ3,NOB1,100905,104850,5/13/2014
LSM14B,DDX6,106341,103960,5/13/2014
MEPCE,GLB1,106632,106793,5/13/2014
PPP6R1,AGO1,102130,111253,5/13/2014
NMD3,EIF6,101777,116039,5/13/2014
KLHL29,KLHL9,104637,105577,5/13/2014
KLHL29,ZBTB21,104637,110474,5/13/2014
MAP7,GPRASP2,100507,102376,5/13/2014
FBL,LIN28B,110725,105515,5/13/2014
GPRASP2,AGO1,102376,111253,5/13/2014
MKI67,PASK,108560,109730,5/13/2014
NAP1L4,FTSJ3,111924,100905,5/13/2014
KBTBD6,KLHL29,104784,104637,5/13/2014
SENP8,SMURF1,102883,115101,5/13/2014
PRMT1,DGCR8,106128,109725,5/13/2014
PASK,ZBTB24,109730,109422,5/13/2014
DCP2,ELP3,111067,103377,5/13/2014
SFXN2,DCP2,115329,111067,5/13/2014
PIK3R2,ADARB2,106673,103842,5/13/2014
DCP2,GGT7,111067,107471,5/13/2014
PFKM,DCP2,111696,111067,5/13/2014
DARS2,DCP2,105611,111067,5/13/2014
PYCRL,DGCR8,108028,109725,5/13/2014
ZFR,ADARB1,113931,114577,5/13/2014
POP1,ZNF622,109292,109522,5/13/2014
DCP2,PHKB,111067,100362,5/13/2014
GNL2,DICER1,104278,103514,5/13/2014
DCP2,EIF5A,111067,101460,5/13/2014
PNMA2,GTPBP4,114990,108711,5/13/2014
MTFR2,DICER1,115704,103514,5/13/2014
PASK,RECQL4,109730,115260,5/13/2014
GTPBP4,KCTD2,108711,111197,5/13/2014
FXR2,G3BP1,108518,105874,5/13/2014
DCP2,ARMCX5,111067,100628,5/13/2014
HNRNPUL2,DROSHA,103451,109251,5/13/2014
DCAF10,AGO1,103790,111253,5/13/2014
HP1BP3,ZNF346,115816,114992,5/13/2014
KLHL29,KLHL21,104637,116498,5/13/2014
DICER1,NOC3L,103514,115866,5/13/2014
PASK,NOL9,109730,112673,5/13/2014
ZNF346,SNRPB2,114992,111910,5/13/2014
AGO2,P4HB,109001,111181,5/13/2014
KLHL29,STUB1,104637,100319,5/13/2014
STAU2,ZNF346,113356,114992,5/13/2014
EIF6,PPAN,116039,108669,5/13/2014
PFKM,DCP1A,111696,100498,5/13/2014
AGO2,IQSEC1,109001,104483,5/13/2014
AGO2,GPRASP2,109001,102376,5/13/2014
FTSJ3,VPRBP,100905,116293,5/13/2014
CTSA,MEPCE,113024,106632,5/13/2014
FTSJ3,ZNF622,100905,109522,5/13/2014
LIN28B,SNRPG,105515,109609,5/13/2014
LIN28B,NOP10,105515,116584,5/13/2014
NOP16,ADARB2,103027,103842,5/13/2014
PASK,RAD50,109730,113465,5/13/2014
AGO1,STUB1,111253,100319,5/13/2014
GPRASP2,DIMT1,102376,103227,5/13/2014
DCP2,AP1M1,111067,115168,5/13/2014
PASK,SENP5,109730,101328,5/13/2014
MLLT11,AGO2,104173,109001,5/13/2014
