id,filename,full_classification,top_level_class
2,http:##dimacs.rutgers.edu#techps#1994#94-07.ps,/Artificial_Intelligence/Knowledge_Representation/,Artificial_Intelligence
16,http:##www.cs.wisc.edu#~fischer#ftp#pub#tech-reports#ncstrl.uwmadison#CS-TR-90-907#CS-TR-90-907.ps.Z,/Databases/Object_Oriented/,Databases
18,http:##cobar.cs.umass.edu#pubfiles#ds7.ps.gz,/Databases/Object_Oriented/,Databases
20,http:##www.pmg.lcs.mit.edu#papers#dist-mgmt.ps.gz,/Databases/Object_Oriented/,Databases
22,http:##www.pmg.lcs.mit.edu#papers#osdi94-opplog.ps.gz,/Databases/Object_Oriented/,Databases
25,file:##ftp.cs.wisc.edu#tech-reports#reports#92#tr1093.ps.Z,/Databases/Object_Oriented/,Databases
26,http:##http.cs.berkeley.edu#~asah#papers#other#to-read#swizz.ps.gz,/Programming/Garbage_Collection/,Programming
35,http:##www.cis.ohio-state.edu#lair#TechReports#93-pa-ep93.ps,/Artificial_Intelligence/Machine_Learning/Genetic_Algorithms/,Artificial_Intelligence
40,http:##www.bioele.nuee.nagoya-u.ac.jp#wec#papers#files#lee.ps.gz,/Artificial_Intelligence/Machine_Learning/Genetic_Algorithms/,Artificial_Intelligence
51,ftp:##ftp.cs.cmu.edu#project#mach#doc#unpublished#sched.concur.ps,/Operating_Systems/Memory_Management/,Operating_Systems
54,http:##www.cs.washington.edu#homes#karlin#papers#spinlock.ps,/Operating_Systems/Memory_Management/,Operating_Systems
56,ftp:##ftp.cs.toronto.edu#pub#parallel#Krieger_etal_ICPP93.ps.Z,/Operating_Systems/Memory_Management/,Operating_Systems
59,ftp:##ftp.cs.rochester.edu#pub#papers#systems#91.SOSP.Psyche_First_Class_Threads.ps.Z,/Operating_Systems/Memory_Management/,Operating_Systems
60,ftp:##ftp.cs.rochester.edu#pub#papers#systems#91.TOCS.Scalable_Synch.ps.Z,/Operating_Systems/Memory_Management/,Operating_Systems
62,ftp:##ftp.cs.rochester.edu#pub#papers#systems#93.tr454.scalable_spin_locks.ps.Z,/Operating_Systems/Memory_Management/,Operating_Systems
65,ftp:##ftp.cag.lcs.mit.edu#pub#papers#mitalewife.ps.Z,/Operating_Systems/Memory_Management/,Operating_Systems
91,ftp:##ftp.cs.arizona.edu#xkernel#Papers#pathfinder.ps,/Networking/Protocols/,Networking
95,http:##www.psrg.lcs.mit.edu#~james#drafts#exokernel-sosp95.ps,/Hardware_and_Architecture/Memory_Structures/,Hardware_and_Architecture
100,http:##www.cs.ucsd.edu#users#pasquale#Papers#sigcomm93.ps,/Networking/Protocols/,Networking
101,ftp:##ftp.cs.columbia.edu#reports#reports-1992#cucs-039-92.ps.gz,/Operating_Systems/Memory_Management/,Operating_Systems
103,ftp:##ftp.ee.lbl.gov#papers#bpf-usenix93.ps.Z,/Networking/Protocols/,Networking
106,ftp:##ftp.cs.arizona.edu#xkernel#Papers#usc.ps,/Encryption_and_Compression/Security/,Encryption_and_Compression
107,http:##www.cs.washington.edu#homes#dlee#mypapers#pfinal.ps,/Programming/Compiler_Design/,Programming
114,ftp:##ftp.cs.colorado.edu#users#baveja#Papers#realtime-dp.ps.gz,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/,Artificial_Intelligence
117,http:##www.cs.duke.edu#~mlittman#docs#gmdp.ps,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/,Artificial_Intelligence
128,ftp:##ftp.cs.colorado.edu#users#baveja#Papers#AAAI94.ps.gz,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/,Artificial_Intelligence
130,http:##www.cs.orst.edu#~tadepall#research#papers#local-linear-regression.ps,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/,Artificial_Intelligence
136,ftp:##ftp.cs.umd.edu#pub#papers#papers#1833#1833.ps.Z,/Artificial_Intelligence/Games_and_Search/,Artificial_Intelligence
138,http:##www.cs.wustl.edu#cs#techreports#1996#wucs-96-12.ps.Z,/Networking/Protocols/,Networking
139,http:##www.cs.berkeley.edu#~kubitron#compread#pdos-dpf.ps,/Networking/Protocols/,Networking
141,http:##www.cs.wustl.edu#~schmidt#SIGCOMM-96.ps.gz,/Networking/Protocols/,Networking
142,http:##www.cs.wustl.edu#~schmidt#GLOBECOM-96.ps.gz,/Networking/Protocols/,Networking
144,http:##www.cs.wustl.edu#~schmidt#HICSS-97.ps.gz,/Human_Computer_Interaction/Multimedia/,Human_Computer_Interaction
145,http:##www.cs.wustl.edu#~schmidt#oopsla.ps.gz,/Operating_Systems/Realtime/,Operating_Systems
146,http:##dworkin.wustl.edu#~jmahesh#wcsss96final.ps,/Operating_Systems/Distributed/,Operating_Systems
148,http:##geyer.lcs.mit.edu#~jchapin#6853#Papers#packet-filter.ps,/Networking/Protocols/,Networking
149,http:##www.cs.wustl.edu#~schmidt#C++-USENIX-90.ps.gz,/Data_Structures__Algorithms_and_Theory/Hashing/,Data_Structures__Algorithms_and_Theory
150,http:##www.cs.wustl.edu#~schmidt#ORB-patterns.ps.gz,/Programming/Java/,Programming
151,http:##www.cs.wustl.edu#~schmidt#TAO.ps.gz,/Operating_Systems/Realtime/,Operating_Systems
152,http:##www.cs.cornell.edu#skeshav#papers#transport.ton.ps,/Networking/Protocols/,Networking
153,http:##www.cs.wustl.edu#~schmidt#vinoski.ps.gz,/Programming/Java/,Programming
155,http:##www.cs.cornell.edu#Info#People#ronitt#PAP#bb.ps,/Data_Structures__Algorithms_and_Theory/Computational_Complexity/,Data_Structures__Algorithms_and_Theory
164,http:##www.cs.cornell.edu#Info#People#ronitt#PAP#grs.ps,/Artificial_Intelligence/Machine_Learning/Theory/,Artificial_Intelligence
173,http:##theory.lcs.mit.edu#~madhu#papers#allrtn.ps,/Data_Structures__Algorithms_and_Theory/Randomized/,Data_Structures__Algorithms_and_Theory
177,http:##http.cs.berkeley.edu#~halw#poly.ps,/Encryption_and_Compression/Encryption/,Encryption_and_Compression
184,http:##ic.arc.nasa.gov#ic#projects#bayes-group#NP#ijcai91#phases-for-web.ps,/Artificial_Intelligence/Games_and_Search/,Artificial_Intelligence
185,http:##www.ai.mit.edu#~mpf#desktop#research#QC#other_papers#Chuang-et-al-95.ps,/Data_Structures__Algorithms_and_Theory/Quantum_Computing/,Data_Structures__Algorithms_and_Theory
201,http:##www.ai.mit.edu#~mpf#desktop#research#QC#other_papers#Hogg.ps,/Data_Structures__Algorithms_and_Theory/Quantum_Computing/,Data_Structures__Algorithms_and_Theory
212,http:##www.isi.edu#sims#minton#papers#aij-mc.ps,/Artificial_Intelligence/Planning/,Artificial_Intelligence
213,http:##simon.cs.cornell.edu#home#selman#papers-ftp#92.aaai.hsat.ps,/Data_Structures__Algorithms_and_Theory/Computational_Complexity/,Data_Structures__Algorithms_and_Theory
219,http:##simon.cs.cornell.edu#home#selman#papers-ftp#92.aaai.gsat.ps,/Artificial_Intelligence/Knowledge_Representation/,Artificial_Intelligence
249,http:##www-graphics.stanford.edu#papers#spacetime#spacetime.ps.gz,/Human_Computer_Interaction/Graphics_and_Virtual_Reality/,Human_Computer_Interaction
250,ftp:##whitechapel.media.mit.edu#pub#tech-reports#TR-163.ps.Z,/Artificial_Intelligence/Vision_and_Pattern_Recognition/,Artificial_Intelligence
260,ftp:##ftp.ai.sri.com#pub#papers#leclerc-ijcv89.ps.gz,/Artificial_Intelligence/Vision_and_Pattern_Recognition/,Artificial_Intelligence
264,http:##netlib.bell-labs.com#cm#ms#departments#sia#doc#96.9.ps,/Artificial_Intelligence/Speech/,Artificial_Intelligence
266,http:##www.cs.rpi.edu#~millerj#papers#muse_cvpr96.ps.gz,/Artificial_Intelligence/Vision_and_Pattern_Recognition/,Artificial_Intelligence
272,http:##www.cs.rpi.edu#tr#93-21.ps,/Artificial_Intelligence/Vision_and_Pattern_Recognition/,Artificial_Intelligence
282,http:##www.cs.ucsd.edu#~rik#papers#dair94#inc.ps,/Information_Retrieval/Retrieval/,Information_Retrieval
288,http:##www.cs.cmu.edu#afs#cs.cmu.edu#user#awd#www#dubrawski_schneider97.ps.gz,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/,Artificial_Intelligence
294,http:##www.cs.berkeley.edu#~aiken#ftp#fpca93.ps,/Programming/Functional/,Programming
304,ftp:##ftp.cs.jhu.edu#pub#scott#itoopls.ps.Z,/Programming/Object_Oriented/,Programming
320,ftp:##olympos.cs.umd.edu#pub#TechReports#fodo.ps,/Artificial_Intelligence/Data_Mining/,Artificial_Intelligence
333,ftp:##hyena.cs.umd.edu#pub#ranga#sigmod94#sigmod94.ps,/Artificial_Intelligence/Data_Mining/,Artificial_Intelligence
343,http:##www.cs.umd.edu#~flip#spie.ps.gz,/Artificial_Intelligence/Vision_and_Pattern_Recognition/,Artificial_Intelligence
382,http:##www.cs.rochester.edu#u#sandhya#papers#ijcs91.ps.gz,/Operating_Systems/Memory_Management/,Operating_Systems
404,http:##www.cs.ubc.ca#spider#pope#AAAI93-Paper.ps.gz,/Artificial_Intelligence/Vision_and_Pattern_Recognition/,Artificial_Intelligence
405,http:##www.cs.ubc.ca#spider#pope#Pope-Thesis.ps.gz,/Artificial_Intelligence/Vision_and_Pattern_Recognition/,Artificial_Intelligence
424,ftp:##ftp.cs.orst.edu#pub#tgd#papers#mlj-nge.ps.gz,/Artificial_Intelligence/Machine_Learning/Rule_Learning/,Artificial_Intelligence
428,http:##www.research.att.com#~wcohen#postscript#ml-92.ps,/Artificial_Intelligence/Machine_Learning/Rule_Learning/,Artificial_Intelligence
434,http:##www.cs.cmu.edu#afs#cs.cmu.edu#Web#People#thrun#papers#mitchell.EBNN_newell_book.ps.gz,/Artificial_Intelligence/Machine_Learning/Reinforcement_Learning/,Artificial_Intelligence
449,http:##www.cs.wisc.edu#wpis#papers#popl88b.ps,/Programming/Debugging/,Programming
452,ftp:##ftp.cs.virginia.edu#pub#techreports#CS-91-32.ps.Z,/Programming/Compiler_Design/,Programming
463,ftp:##athos.rutgers.edu#pub#technical-reports#cap-tr-14.ps.Z,/Artificial_Intelligence/Machine_Learning/Case-Based/,Artificial_Intelligence
481,file:##ftp.cs.wisc.edu#tech-reports#reports#91#tr994.ps.Z,/Databases/Concurrency/,Databases
489,http:##www.cs.cmu.edu#afs#cs#project#coda#Web#docdir#wwos2.ps.Z,/Operating_Systems/Distributed/,Operating_Systems
491,http:##www.cs.cornell.edu#skeshav#papers#freebsd.ps,/Networking/Protocols/,Networking
